# Assembly name:  BIC1307292462.V1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=BIC1307292462
# Taxid:          1682
# BioSample:      SAMEA2747184
# BioProject:     PRJEB7117
# Submitter:      CHUV-UNIL
# Date:           2014-12-19
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CCWO01
# Genome coverage: 104x
# GenBank assembly accession: GCA_000825025.1
# RefSeq assembly accession: GCF_000825025.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000825035.1	GCF_000825035.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CCWO01000029	unplaced-scaffold	na	na	CCWO01000029.1	=	NZ_CCWO01000029.1	Primary Assembly	27646	na
CCWO01000030	unplaced-scaffold	na	na	CCWO01000030.1	=	NZ_CCWO01000030.1	Primary Assembly	3091	na
CCWO01000031	unplaced-scaffold	na	na	CCWO01000031.1	=	NZ_CCWO01000031.1	Primary Assembly	5387	na
CCWO01000032	unplaced-scaffold	na	na	CCWO01000032.1	=	NZ_CCWO01000032.1	Primary Assembly	11320	na
CCWO01000033	unplaced-scaffold	na	na	CCWO01000033.1	=	NZ_CCWO01000033.1	Primary Assembly	36362	na
CCWO01000034	unplaced-scaffold	na	na	CCWO01000034.1	=	NZ_CCWO01000034.1	Primary Assembly	57615	na
CCWO01000035	unplaced-scaffold	na	na	CCWO01000035.1	=	NZ_CCWO01000035.1	Primary Assembly	3529	na
CCWO01000036	unplaced-scaffold	na	na	CCWO01000036.1	=	NZ_CCWO01000036.1	Primary Assembly	28276	na
CCWO01000037	unplaced-scaffold	na	na	CCWO01000037.1	=	NZ_CCWO01000037.1	Primary Assembly	6019	na
CCWO01000038	unplaced-scaffold	na	na	CCWO01000038.1	=	NZ_CCWO01000038.1	Primary Assembly	18778	na
CCWO01000039	unplaced-scaffold	na	na	CCWO01000039.1	=	NZ_CCWO01000039.1	Primary Assembly	80853	na
CCWO01000040	unplaced-scaffold	na	na	CCWO01000040.1	=	NZ_CCWO01000040.1	Primary Assembly	58453	na
CCWO01000041	unplaced-scaffold	na	na	CCWO01000041.1	=	NZ_CCWO01000041.1	Primary Assembly	2023	na
CCWO01000042	unplaced-scaffold	na	na	CCWO01000042.1	=	NZ_CCWO01000042.1	Primary Assembly	95156	na
CCWO01000043	unplaced-scaffold	na	na	CCWO01000043.1	=	NZ_CCWO01000043.1	Primary Assembly	173227	na
CCWO01000044	unplaced-scaffold	na	na	CCWO01000044.1	=	NZ_CCWO01000044.1	Primary Assembly	3220	na
CCWO01000045	unplaced-scaffold	na	na	CCWO01000045.1	=	NZ_CCWO01000045.1	Primary Assembly	88376	na
CCWO01000046	unplaced-scaffold	na	na	CCWO01000046.1	=	NZ_CCWO01000046.1	Primary Assembly	19611	na
CCWO01000047	unplaced-scaffold	na	na	CCWO01000047.1	=	NZ_CCWO01000047.1	Primary Assembly	1589	na
CCWO01000048	unplaced-scaffold	na	na	CCWO01000048.1	=	NZ_CCWO01000048.1	Primary Assembly	2479	na
CCWO01000049	unplaced-scaffold	na	na	CCWO01000049.1	=	NZ_CCWO01000049.1	Primary Assembly	69276	na
CCWO01000050	unplaced-scaffold	na	na	CCWO01000050.1	=	NZ_CCWO01000050.1	Primary Assembly	32762	na
CCWO01000051	unplaced-scaffold	na	na	CCWO01000051.1	=	NZ_CCWO01000051.1	Primary Assembly	134238	na
CCWO01000052	unplaced-scaffold	na	na	CCWO01000052.1	=	NZ_CCWO01000052.1	Primary Assembly	25383	na
CCWO01000053	unplaced-scaffold	na	na	CCWO01000053.1	=	NZ_CCWO01000053.1	Primary Assembly	1329	na
CCWO01000054	unplaced-scaffold	na	na	CCWO01000054.1	=	NZ_CCWO01000054.1	Primary Assembly	11293	na
CCWO01000055	unplaced-scaffold	na	na	CCWO01000055.1	=	NZ_CCWO01000055.1	Primary Assembly	14806	na
CCWO01000056	unplaced-scaffold	na	na	CCWO01000056.1	=	NZ_CCWO01000056.1	Primary Assembly	83230	na
CCWO01000057	unplaced-scaffold	na	na	CCWO01000057.1	=	NZ_CCWO01000057.1	Primary Assembly	24970	na
CCWO01000058	unplaced-scaffold	na	na	CCWO01000058.1	=	NZ_CCWO01000058.1	Primary Assembly	93575	na
CCWO01000059	unplaced-scaffold	na	na	CCWO01000059.1	=	NZ_CCWO01000059.1	Primary Assembly	52337	na
CCWO01000060	unplaced-scaffold	na	na	CCWO01000060.1	=	NZ_CCWO01000060.1	Primary Assembly	1432	na
CCWO01000061	unplaced-scaffold	na	na	CCWO01000061.1	=	NZ_CCWO01000061.1	Primary Assembly	12011	na
CCWO01000062	unplaced-scaffold	na	na	CCWO01000062.1	=	NZ_CCWO01000062.1	Primary Assembly	2200	na
CCWO01000063	unplaced-scaffold	na	na	CCWO01000063.1	=	NZ_CCWO01000063.1	Primary Assembly	1782	na
CCWO01000064	unplaced-scaffold	na	na	CCWO01000064.1	=	NZ_CCWO01000064.1	Primary Assembly	109313	na
CCWO01000065	unplaced-scaffold	na	na	CCWO01000065.1	=	NZ_CCWO01000065.1	Primary Assembly	1293	na
CCWO01000066	unplaced-scaffold	na	na	CCWO01000066.1	=	NZ_CCWO01000066.1	Primary Assembly	28399	na
CCWO01000067	unplaced-scaffold	na	na	CCWO01000067.1	=	NZ_CCWO01000067.1	Primary Assembly	11651	na
CCWO01000068	unplaced-scaffold	na	na	CCWO01000068.1	=	NZ_CCWO01000068.1	Primary Assembly	5957	na
